state_abbreviation,state_name,latest_reporting_month,latest_total_medicaid_chip_enrollment,latest_medicaid_enrollment,latest_chip_enrollment,state_population,population_denominator_year,population_denominator_source,population_source_url,population_date_accessed,population_notes,applications_per_1000_enrollees,determinations_per_1000_enrollees,determinations_per_application,change_since_january_2019,percent_change_since_january_2019,last_12_month_change,last_12_month_percent_change,latest_applications_submitted,latest_total_determinations,latest_month_preliminary_status,missingness_percent,data_quality_note,medicaid_chip_enrollment_per_1000_residents,medicaid_enrollment_per_1000_residents,chip_enrollment_per_1000_residents,applications_submitted_per_100000_residents,eligibility_determinations_per_100000_residents,map_medicaid_chip_enrollment_per_1000_residents,map_medicaid_enrollment_per_1000_residents,map_chip_enrollment_per_1000_residents,map_applications_per_100000_residents,map_determinations_per_100000_residents
MD,Maryland,2026-02-01,1388290.0,1192846.0,195444.0,6263220,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",5916.030793561654,3510.100286681942,0.5933201514944687,60342.0,4.544003229042101,-72653.0,-4.9730208502316655,134590.0,94342.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,221.657550,190.452515,31.205035,2148.894658,1506.285904,221.657550,190.452515,31.205035,2148.894658,1506.285904
ME,Maine,2026-02-01,334056.0,312922.0,21134.0,1405012,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1803.343432155634,2331.195418046783,1.292707410290772,91756.0,37.8687577383409,-11363.0,-3.289627959087369,6576.0,7204.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,237.760247,222.718382,15.041864,468.038707,512.735834,237.760247,222.718382,15.041864,468.038707,512.735834
MI,Michigan,2026-02-01,2194454.0,2027525.0,166929.0,10140459,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1315.4838303319998,1105.288245583234,0.8402142391246897,-140641.0,-6.022924120860179,-207924.0,-8.654924412394719,47799.0,34362.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,216.405786,199.944105,16.461681,471.369195,338.860401,216.405786,199.944105,16.461681,471.369195,338.860401
MN,Minnesota,2026-02-01,1135076.0,1131094.0,3982.0,5793151,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1572.2285957471097,804.0102244460069,0.5113825219951226,77329.0,7.310727423476503,-33462.0,-2.8635782490599366,19679.0,8585.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,195.934130,195.246766,0.687363,339.694235,148.192236,195.934130,195.246766,0.687363,339.694235,148.192236
MO,Missouri,2026-02-01,1242164.0,1107774.0,134390.0,6245466,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1511.351983297069,995.1662259079134,0.6584609256520921,334268.0,36.8178734128138,-71397.0,-5.43537757287252,25019.0,25068.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,198.890523,177.372513,21.518010,400.594607,401.379177,198.890523,177.372513,21.518010,400.594607,401.379177
MS,Mississippi,2026-02-01,587137.0,503605.0,83532.0,2943045,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2180.0037141332773,1238.8756840792528,0.5682906299872077,-5334.0,-0.9002972297378268,-18068.0,-2.985434687419965,16047.0,8541.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,199.499838,171.116989,28.382848,545.251602,290.209630,199.499838,171.116989,28.382848,545.251602,290.209630
MT,Montana,2026-02-01,208151.0,188346.0,19805.0,1137233,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1135.879798281838,1060.2071172244016,0.9333796752333292,-72304.0,-25.780963077855628,-5767.0,-2.6958928187436304,4019.0,3274.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,183.032853,165.617776,17.415077,353.401634,287.891751,183.032853,165.617776,17.415077,353.401634,287.891751
NC,North Carolina,2026-02-01,2849341.0,2503652.0,345689.0,11046024,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",997.63310536915,1455.216461105753,1.4586689768753065,937677.0,49.05030381908118,-13916.0,-0.4860199416259176,30062.0,44892.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,257.951730,226.656397,31.295333,272.152224,406.408677,257.951730,226.656397,31.295333,272.152224,406.408677
ND,North Dakota,2026-02-01,103737.0,98345.0,5392.0,796568,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2024.6269938728376,1720.5490056351232,0.8498103654856175,12677.0,13.921590160333846,-4198.0,-3.8893778663084255,2535.0,2417.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,130.229936,123.460897,6.769039,318.240251,303.426701,130.229936,123.460897,6.769039,318.240251,303.426701
NE,Nebraska,2026-02-01,333666.0,296393.0,37273.0,2005465,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2012.5398372798843,1628.099053338988,0.8089773047869203,86700.0,35.106046986224825,-13404.0,-3.862045120580863,8741.0,7312.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,166.378371,147.792657,18.585715,435.859015,364.603720,166.378371,147.792657,18.585715,435.859015,364.603720
NH,New Hampshire,2026-02-01,172022.0,153037.0,18985.0,1409032,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2083.806130978463,1636.1888167793124,0.7851924382289013,-11630.0,-6.332629102868468,-16719.0,-8.858170720723107,5132.0,3662.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,122.085233,108.611444,13.473789,364.221678,259.894736,122.085233,108.611444,13.473789,364.221678,259.894736
NJ,New Jersey,2026-02-01,1739068.0,1482629.0,256439.0,9500851,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1476.7200772512433,1145.0692560014727,0.7754138876021088,8256.0,0.4770015460951276,-63758.0,-3.536558713930241,30014.0,25648.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,183.043393,156.052232,26.991161,315.908543,269.954765,183.043393,156.052232,26.991161,315.908543,269.954765
NM,New Mexico,2026-02-01,680107.0,636198.0,43909.0,2130256,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",1370.9658747926112,1362.3072308588587,0.9936842746468344,-54478.0,-7.416160144843688,-43493.0,-6.010641238253179,12375.0,12724.0,Preliminary,15.7,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,319.260690,298.648613,20.612077,580.916096,597.299104,319.260690,298.648613,20.612077,580.916096,597.299104
NV,Nevada,2026-02-01,727300.0,680222.0,47078.0,3267467,2024,"U.S. Census Bureau Annual Estimates of the Resident Population for the United States, Regions, States, District of Columbia, and Puerto Rico: April 1, 2020 to July 1, 2024 (NST-EST2024-POP)",https://www2.census.gov/programs-surveys/popest/tables/2020-2024/state/totals/NST-EST2024-POP.xlsx,2026-06-16,"Annual resident population estimate as of July 1. Used as descriptive state population context, not a utilization denominator.",2104.9747750383767,1007.2390732295656,0.4785041061649787,92106.0,14.500451830464394,-44786.0,-5.8006491504832365,16077.0,8617.0,Preliminary,15.79,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,222.588323,208.180220,14.408103,492.032513,263.721103,222.588323,208.180220,14.408103,492.032513,263.721103
