state_abbreviation,state_name,latest_reporting_month,latest_total_medicaid_chip_enrollment,latest_medicaid_enrollment,latest_chip_enrollment,national_enrollment_rank,change_since_january_2019,percent_change_since_january_2019,last_12_month_change,last_12_month_percent_change,latest_applications_submitted,latest_total_determinations,determinations_per_application,applications_per_1000_enrollees,determinations_per_1000_enrollees,missingness_percent,missingness_rank,latest_month_preliminary_status,caution_flag,data_quality_note,map_latest_enrollment,map_percent_change_since_2019,map_last_12_month_change,map_applications_per_1000_enrollees,map_determinations_per_1000_enrollees,map_missingness_percent
OR,Oregon,2026-02-01,1288913.0,1106086.0,182827.0,21.0,305757.0,31.099540662926334,-29473.0,-2.2355364817284165,14152.0,223528.0,12.689013969637696,953.0716841388128,12093.53991410352,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1288913.0,31.099540662926334,-29473.0,953.0716841388128,12093.53991410352,15.7
PA,Pennsylvania,2026-02-01,2994399.0,2715845.0,278554.0,5.0,-22421.0,-0.7431997931596847,-114075.0,-3.669807114359007,101139.0,85575.0,0.935800734129474,2502.478545896884,2341.8212603935626,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,2994399.0,-0.7431997931596847,-114075.0,2502.478545896884,2341.8212603935626,15.7
RI,Rhode Island,2026-02-01,286204.0,251044.0,35160.0,42.0,-23353.0,-7.544006435002277,-30890.0,-9.7415908216491,1441.0,1994.0,1.2063971968834548,417.7207040699725,503.937086470198,15.97,2.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,286204.0,-7.544006435002277,-30890.0,417.7207040699725,503.937086470198,15.97
SC,South Carolina,2026-02-01,967113.0,853622.0,113491.0,27.0,-81233.0,-7.748682209881089,-96330.0,-9.058313421593825,15422.0,3526.0,0.2917762134961694,1365.5617280348404,398.4384303012916,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,967113.0,-7.748682209881089,-96330.0,1365.5617280348404,398.4384303012916,15.7
SD,South Dakota,2026-02-01,137536.0,122936.0,14600.0,49.0,26358.0,23.70792782744788,-7750.0,-5.334306127224922,4303.0,18238.0,0.9112408543344912,2110.1177453629816,1922.825497030934,20.53,1.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,137536.0,23.70792782744788,-7750.0,2110.1177453629816,1922.825497030934,20.53
TN,Tennessee,2026-02-01,1401142.0,1223332.0,177810.0,17.0,-1270.0,-0.0905582667575577,-41052.0,-2.8464963798213003,30669.0,11812.0,0.4066654059596191,1430.548791032223,581.7547048501614,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1401142.0,-0.0905582667575577,-41052.0,1430.548791032223,581.7547048501614,15.7
TX,Texas,2026-02-01,3997752.0,3651928.0,345824.0,3.0,-299932.0,-6.978921670369437,-200982.0,-4.786728571040699,98889.0,59289.0,0.6254406773084061,1908.8062472336544,1193.845072120334,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,3997752.0,-6.978921670369437,-200982.0,1908.8062472336544,1193.845072120334,15.7
UT,Utah,2026-02-01,326311.0,291629.0,34682.0,40.0,38295.0,13.29613632575968,-17289.0,-5.031722933643771,24547.0,38624.0,1.824027175396561,5395.188554384013,9840.970539584923,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,326311.0,13.29613632575968,-17289.0,5395.188554384013,9840.970539584923,15.7
VA,Virginia,2026-02-01,1660787.0,1469914.0,190873.0,13.0,423525.0,34.23082580730678,-139098.0,-7.728160410248433,35271.0,29062.0,1.6252440025310804,1374.097578988365,2233.243849143318,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1660787.0,34.23082580730678,-139098.0,1374.097578988365,2233.243849143318,15.7
VT,Vermont,2026-02-01,149308.0,143842.0,5466.0,48.0,-9132.0,-5.763696036354456,-8597.0,-5.444412779835978,4807.0,2672.0,0.863393213059524,1838.588067404924,1587.4244590096378,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,149308.0,-5.763696036354456,-8597.0,1838.588067404924,1587.4244590096378,15.7
WA,Washington,2026-02-01,1784702.0,1718979.0,65723.0,11.0,39647.0,2.271962774812255,-45800.0,-2.502045886866007,148517.0,38806.0,0.3430482915163037,6765.649277958696,2320.9444258022445,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1784702.0,2.271962774812255,-45800.0,6765.649277958696,2320.9444258022445,15.7
WI,Wisconsin,2026-02-01,1118742.0,1018694.0,100048.0,25.0,97291.0,9.524783861389336,-72804.0,-6.110045268919538,22173.0,16569.0,0.8052602851635188,1361.7141294534538,1096.5343081948809,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,1118742.0,9.524783861389336,-72804.0,1361.7141294534538,1096.5343081948809,15.7
WV,West Virginia,2026-02-01,487229.0,447364.0,39865.0,35.0,-34400.0,-6.59472536994684,-23990.0,-4.692705083340017,18567.0,7692.0,0.4959889717484097,2478.615027199884,1229.3657187010272,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,487229.0,-6.59472536994684,-23990.0,2478.615027199884,1229.3657187010272,15.7
WY,Wyoming,2026-02-01,58942.0,52961.0,5981.0,51.0,883.0,1.5208667045591553,-4874.0,-7.637583051272408,1366.0,2063.0,0.6636918069143133,1648.894608647466,1094.3578422245062,15.7,5.0,Preliminary,True,Latest month is preliminary; interpret current values cautiously. State has elevated missingness across preserved fields.,58942.0,1.5208667045591553,-4874.0,1648.894608647466,1094.3578422245062,15.7
